===========================================================================
  国連加盟国等 195カ国 データリスト
  人口: UN DESA World Population Prospects 2024（2023年中間推計、千人単位）
  面積: UN Statistics Division / World Bank（km²）
  ※ バチカン・パレスチナはオブザーバー国家
===========================================================================

【面積ランキング】
  順位  国名                        地域                 面積(km²)        人口(千人)
 129  エストニア                     欧州                  45,228         1,322
 130  デンマーク                     欧州                  43,094         5,910
 131  オランダ                      欧州                  41,543        17,890
 132  スイス                       欧州                  41,285         8,796
 133  ブータン                      アジア                 38,394           787
 134  ギニアビサウ                    アフリカ                36,125         2,150
 135  モルドバ                      欧州                  33,846         3,272
 136  ベルギー                      欧州                  30,528        11,590
 137  レソト                       アフリカ                30,355         2,281
 138  アルメニア                     アジア                 29,743         2,778
 139  ソロモン諸島                    オセアニア               28,896           720
 140  アルバニア                     欧州                  28,748         2,832
 141  赤道ギニア                     アフリカ                28,051         1,674
 142  ブルンジ                      アフリカ                27,834        13,238
 143  ハイチ                       北米                  27,750        11,470
 144  ルワンダ                      アフリカ                26,338        14,256
 145  北マケドニア                    欧州                  25,713         2,085
 146  マケドニア                     欧州                  25,713         2,085
 147  ジブチ                       アフリカ                23,200         1,136
 148  ベリーズ                      北米                  22,966           411
 149  エルサルバドル                   北米                  21,041         6,364
 150  イスラエル                     アジア                 20,770         9,174
 151  スロベニア                     欧州                  20,273         2,117
 152  フィジー                      オセアニア               18,272           930
 153  クウェート                     アジア                 17,818         4,859
 154  エスワティニ                    アフリカ                17,364         1,202
 155  東ティモール                    アジア                 14,874         1,341
 156  バハマ                       北米                  13,943           400
 157  モンテネグロ                    欧州                  13,812           627
 158  バヌアツ                      オセアニア               12,189           327
 159  カタール                      アジア                 11,586         2,716
 160  ガンビア                      アフリカ                11,300         2,640
 161  ジャマイカ                     北米                  10,991         2,825
 162  レバノン                      アジア                 10,452         5,353
 163  キプロス                      欧州                   9,251         1,251
 164  パレスチナ                     アジア                  6,020         5,371
 165  ブルネイ                      アジア                  5,765           452
 166  トリニダード・トバゴ                北米                   5,130         1,534
 167  カーボベルデ                    アフリカ                 4,033           568
 168  サモア                       オセアニア                2,842           222
 169  ルクセンブルク                   欧州                   2,586           672
 170  コモロ                       アフリカ                 2,235           852
 171  サントメ・プリンシペ                アフリカ                   964           231
 172  キリバス                      オセアニア                  811           119
 173  バーレーン                     アジア                    765         1,463
 174  ドミニカ                      北米                     751            73
 175  トンガ                       オセアニア                  747           100
 176  シンガポール                    アジア                    728         5,918
 177  マイクロネシア                   オセアニア                  702           115
 178  セントルシア                    北米                     616           180
 179  アンドラ                      欧州                     468            80
 180  パラオ                       オセアニア                  459            18
 181  セーシェル                     アフリカ                   455           107
 182  アンティグア・バーブーダ              北米                     442            94
 183  バルバドス                     北米                     430           282
 184  セントビンセント・グレナディーン          北米                     389           103
 185  グレナダ                      北米                     344           125
 186  マルタ                       欧州                     316           535
 187  モルディブ                     アジア                    298           521
 188  セントクリストファー・ネービス           北米                     261            47
 189  マーシャル諸島                   オセアニア                  181            42
 190  リヒテンシュタイン                 欧州                     160            39
 191  サンマリノ                     欧州                      61            34
 192  ツバル                       オセアニア                   26            11
 193  ナウル                       オセアニア                   21            10
 194  モナコ                       欧州                       2            36
 195  バチカン                      欧州                       0             1

【人口ランキング】
  順位  国名                        地域                人口(千人)         面積(km²)
---------------------------------------------------------------------------
   1  インド                       アジア            1,428,628       3,287,263
   2  中国                        アジア            1,409,670       9,596,960
   3  アメリカ                      北米               335,893       9,372,610
   4  インドネシア                    アジア              277,534       1,904,569
   5  パキスタン                     アジア              231,402         796,095
   6  ナイジェリア                    アフリカ             223,804         923,768
   7  ブラジル                      南米               215,313       8,515,767
   8  バングラデシュ                   アジア              172,954         147,570
   9  ロシア                       欧州               144,444      17,098,242
  10  メキシコ                      北米               128,455       1,964,375
  11  エチオピア                     アフリカ             126,527       1,104,300
  12  日本                        アジア              124,352         377,915
  13  フィリピン                     アジア              117,337         300,000
  14  エジプト                      アフリカ             105,915       1,001,449
  15  コンゴ民主共和国                  アフリカ              99,010       2,344,858
  16  ベトナム                      アジア               97,468         331,212
  17  イラン                       アジア               87,923       1,648,195
  18  トルコ                       欧州                85,341         783,562
  19  ドイツ                       欧州                83,295         357,114
  20  タイ                        アジア               71,702         513,120
  21  イギリス                      欧州                68,350         243,610
  22  フランス                      欧州                68,170         551,695
  23  タンザニア                     アフリカ              65,498         945,087
  24  南アフリカ                     アフリカ              59,893       1,219,090
  25  イタリア                      欧州                58,761         301,340
  26  ケニア                       アフリカ              55,101         580,367
  27  ミャンマー                     アジア               54,409         676,578
  28  コロンビア                     南米                51,874       1,141,748
  29  韓国                        アジア               51,713         100,210
  30  ウガンダ                      アフリカ              48,582         241,038
  31  スペイン                      欧州                47,422         505,990
  32  アルゼンチン                    南米                45,773       2,780,400
  33  スーダン                      アフリカ              45,658       1,861,484
  34  アルジェリア                    アフリカ              45,606       2,381,741
  35  ウクライナ                     欧州                43,531         603,550
  36  アフガニスタン                   アジア               42,240         652,230
  37  イラク                       アジア               42,164         438,317
  38  ポーランド                     欧州                41,026         312,696
  39  カナダ                       北米                38,781       9,984,670
  40  モロッコ                      アフリカ              37,840         446,550
  41  サウジアラビア                   アジア               36,408       2,149,690
  42  アンゴラ                      アフリカ              35,589       1,246,700
  43  ウズベキスタン                   アジア               35,300         448,978
  44  イエメン                      アジア               33,697         527,968
  45  マレーシア                     アジア               33,574         329,847
  46  ガーナ                       アフリカ              33,476         238,533
  47  ペルー                       南米                33,358       1,285,216
  48  モザンビーク                    アフリカ              32,790         801,590
  49  ネパール                      アジア               30,034         147,181
  50  マダガスカル                    アフリカ              28,916         587,041
  51  ベネズエラ                     南米                28,302         912,050
  52  カメルーン                     アフリカ              27,915         475,442
  53  コートジボワール                  アフリカ              27,478         322,463
  54  オーストラリア                   オセアニア             26,439       7,692,024
  55  ニジェール                     アフリカ              26,207       1,267,000
  56  北朝鮮                       アジア               25,971         120,538
  57  マリ                        アフリカ              22,414       1,240,192
  58  スリランカ                     アジア               21,893          65,610
  59  シリア                       アジア               21,324         185,180
  60  マラウイ                      アフリカ              20,405         118,484
  61  ザンビア                      アフリカ              20,018         752,618
  62  チリ                        南米                19,629         756,102
  63  カザフスタン                    アジア               19,197       2,724,900
  64  ルーマニア                     欧州                19,041         238,397
  65  エクアドル                     南米                18,001         283,561
  66  オランダ                      欧州                17,890          41,543
  67  グアテマラ                     北米                17,844         108,889
  68  チャド                       アフリカ              17,414       1,284,000
